location	LR	alpha
131319841.000000	0.272141	3.062009e+002
131421885.653061	0.847820	3.828548e-003
131523930.306122	0.146083	6.060088e+000
131625974.959184	0.425588	8.163493e-003
131728019.612245	2.446121	1.014423e-003
131830064.265306	1.242773	1.498184e-003
131932108.918367	0.472737	4.068945e-002
132034153.571429	0.212239	7.325886e-003
132136198.224490	0.396172	1.358507e-003
132238242.877551	0.076856	1.837043e-002
132340287.530612	0.503198	4.192311e-004
132442332.183673	0.067879	2.057937e-002
132544376.836735	0.069662	1.261613e-002
132646421.489796	1.680348	2.092855e-003
132748466.142857	3.340096	2.437595e-004
132850510.795918	4.178747	4.594828e-004
132952555.448980	0.896732	8.247714e-002
133054600.102041	1.362775	4.641973e-003
133156644.755102	0.452797	2.576813e-002
133258689.408163	0.075122	2.510099e-002
133360734.061224	0.268077	2.457519e-001
133462778.714286	0.376078	4.824858e-003
133564823.367347	0.794622	4.761210e-003
133666868.020408	1.742476	2.976255e-003
133768912.673469	0.252090	1.818700e-002
133870957.326531	0.836874	4.901694e-004
133973001.979592	0.517629	6.067568e-003
134075046.632653	0.112374	2.257077e-001
134177091.285714	0.050896	1.104456e+000
134279135.938776	0.693320	1.493998e-002
134381180.591837	0.363505	2.789816e-003
134483225.244898	0.580205	7.833503e-003
134585269.897959	0.237494	5.237348e-002
134687314.551020	0.274019	9.831279e-003
134789359.204082	7.539305	8.566213e-005
134891403.857143	1.271783	4.234790e-003
134993448.510204	0.171512	1.743970e-002
135095493.163265	0.543288	1.810644e-003
135197537.816327	0.330286	1.440729e-002
135299582.469388	2.897939	1.957486e-004
135401627.122449	0.278636	5.551731e-003
135503671.775510	1.519754	1.838298e-003
135605716.428571	2.290077	9.114784e-004
135707761.081633	0.114579	4.668972e-002
135809805.734694	0.030831	9.483381e-003
135911850.387755	2.464302	2.999901e-004
136013895.040816	1.672045	5.904651e-004
136115939.693878	0.926147	5.692989e-003
136217984.346939	0.420282	1.126696e-003
136320029.000000	1.428894	5.116300e+000
