M1	M2	11	12	21	22	sample_size
1	2	NaN	NaN	NaN	NaN	88
1	3	NaN	NaN	NaN	NaN	85
1	4	NaN	NaN	NaN	NaN	79
1	5	NaN	NaN	NaN	NaN	71
1	6	NaN	NaN	NaN	NaN	89
1	7	NaN	NaN	NaN	NaN	89
1	8	NaN	NaN	NaN	NaN	89
1	9	NaN	NaN	NaN	NaN	87
1	10	NaN	NaN	NaN	NaN	89
1	11	NaN	NaN	NaN	NaN	89
1	12	NaN	NaN	NaN	NaN	85
1	13	NaN	NaN	NaN	NaN	89
1	14	NaN	NaN	NaN	NaN	89
1	15	NaN	NaN	NaN	NaN	89
1	16	NaN	NaN	NaN	NaN	89
1	17	NaN	NaN	NaN	NaN	88
1	18	NaN	NaN	NaN	NaN	89
1	19	NaN	NaN	NaN	NaN	87
1	20	NaN	NaN	NaN	NaN	88
1	21	NaN	NaN	NaN	NaN	89
1	22	NaN	NaN	NaN	NaN	89
1	23	NaN	NaN	NaN	NaN	89
1	24	NaN	NaN	NaN	NaN	81
1	25	NaN	NaN	NaN	NaN	81
1	26	NaN	NaN	NaN	NaN	88
1	27	NaN	NaN	NaN	NaN	86
1	28	NaN	NaN	NaN	NaN	89
1	29	NaN	NaN	NaN	NaN	89
1	30	NaN	NaN	NaN	NaN	89
1	31	NaN	NaN	NaN	NaN	89
1	32	NaN	NaN	NaN	NaN	88
1	33	NaN	NaN	NaN	NaN	88
1	34	NaN	NaN	NaN	NaN	89
1	35	NaN	NaN	NaN	NaN	84
1	36	NaN	NaN	NaN	NaN	86
1	37	NaN	NaN	NaN	NaN	88
1	38	NaN	NaN	NaN	NaN	89
1	39	NaN	NaN	NaN	NaN	81
1	40	NaN	NaN	NaN	NaN	89
1	41	NaN	NaN	NaN	NaN	89
1	42	NaN	NaN	NaN	NaN	89
1	43	NaN	NaN	NaN	NaN	88
1	44	NaN	NaN	NaN	NaN	88
1	45	NaN	NaN	NaN	NaN	89
1	46	NaN	NaN	NaN	NaN	88
1	47	NaN	NaN	NaN	NaN	88
1	48	NaN	NaN	NaN	NaN	89
1	49	NaN	NaN	NaN	NaN	89
1	50	NaN	NaN	NaN	NaN	88
1	51	NaN	NaN	NaN	NaN	89
1	52	NaN	NaN	NaN	NaN	83
