gendid	chr	s1	s2
1	19	58858388	58864804
2	10	52566489	52619701
3	13	101184384	101184846
4	12	9220419	9268446
5	12	8975248	9027608
6	22	43088896	43089958
7	3	137843106	137850099
8	12	53701273	53715250
9	12	125550131	125626776
10	3	151451824	151475383
11	1	12776344	12785964
12	1	12704566	12726747
13	4	170982079	171010842
14	2	69703001	69870173
15	2	219129256	219134810
16	17	74462255	74466053
17	16	70286624	70316667
18	6	44268284	44281061
19	17	41102610	41132200
20	4	57204568	57250466
21	11	105948438	105967635
22	7	121716543	121773781
23	17	35306426	35413965
24	17	79092202	79139793
25	16	8829597	8875288
26	9	107546596	107665961
27	2	215797358	216002932
28	7	48211081	48685109
29	9	139902381	139923325
30	16	2326675	2376468
31	1	94458793	94586602
32	17	67243678	67310557
33	17	67075114	67136845
34	19	1041361	1065425
35	17	66864226	66938176
36	17	66972056	67047268
37	7	87133559	87229501
38	2	169780132	169874636
39	7	87031412	87104782
40	7	20662909	20795248
41	2	220074660	220083396
42	7	150725603	150742437
43	12	123414458	123444783
44	16	16043609	16235139
45	6	43395717	43417830
46	16	48201185	48265833
47	16	48117626	48180336
48	1	1	2
49	10	101542602	101611389
50	17	48712298	48768562
51	13	95673829	95953569
52	3	183639088	183732181
53	16	16243990	16317292
54	11	17414538	17498324
55	12	21953978	22089609
56	12	39947714	40013418
57	1	94884035	94982686
58	14	74753164	74769616
59	7	150905157	150923545
60	3	183903996	183911487
61	21	43621786	43716503
62	4	89013386	89061148
63	11	119020676	119031817
64	2	44066193	44105053
65	2	27346817	27353613
66	3	111697909	111710569
67	7	73150889	73153128
68	20	25275609	25371340
69	14	51338893	51371085
70	13	108881567	108882581
71	3	52009152	52015035
72	3	52003442	52005687
73	17	27889579	27893985
74	15	89659559	89738655
75	18	19231552	19284627
76	14	23067216	23079855
77	3	43732485	43760025
78	3	58242314	58279493
79	19	17403470	17412426
80	10	27037499	27149793
81	2	204193238	204292076
82	17	47288087	47300078
83	3	100469339	100712250
84	9	133589707	133761071
85	1	179076853	179198533
86	10	116196019	116444113
87	4	7968717	8160417
88	5	148521659	148637968
89	9	136131053	136150606
90	7	150553559	150558298
91	17	909320	1083022
92	8	107773265	107782419
93	6	26597211	26598874
94	3	127391869	127399319
95	11	34173934	34379131
96	17	35444251	35766390
97	12	109577211	109704168
98	12	112130514	112194278
99	3	132277815	132378596
100	11	134123495	134134855
101	3	128598535	128631451
102	2	211053685	211089988
103	1	76190473	76228449
104	12	121163689	121177252
105	10	124768546	124813282
106	17	7123304	7128417
107	15	89379438	89417713
108	17	7240054	7254715
109	3	195000057	195163577
110	1	1228944	1243196
111	11	107992334	108018118
112	6	160183120	160199862
113	1	226334311	226374377
114	17	43213512	43221009
115	10	27486359	27529618
116	1	180257498	180471402
117	10	15120529	15130728
118	17	31340983	32483552
119	12	50452550	50475433
120	7	150745973	150749835
121	2	220379066	220402769
122	4	156751008	156787379
123	11	44089178	44105343
124	11	44069587	44081471
125	16	67691509	67694382
126	17	61554456	61574728
127	19	6306725	6333563
128	9	19409083	19450635
129	11	76572021	76731372
130	7	100487835	100491854
131	14	23528357	23564496
132	17	40024063	40070127
133	2	135596253	135659431
134	7	96747036	96810528
135	9	32405505	32450110
136	14	74004126	74010360
137	1	55013983	55100403
138	5	80626213	80689934
139	14	74035945	74042218
140	14	74083879	74086544
141	1	6324657	6453460
142	20	44470477	44485955
143	17	73942829	73975155
144	3	58490951	58520834
145	4	8368688	8418249
146	2	111525967	111875394
147	2	264965	277305
148	11	47261667	47270341
149	19	11685825	11688133
