position	x	n	folded
131319841	29	120	1
131320252	22	120	1
131320274	43	120	1
131320874	37	120	1
131321298	22	120	1
131321457	22	120	1
131322510	45	120	1
131322597	40	120	1
131323175	19	120	1
131324067	5	120	1
131324696	21	120	1
131324699	35	120	1
131324826	22	120	1
131325575	41	120	1
131325590	40	120	1
131325648	36	120	1
131325662	34	120	1
131325685	41	120	1
131325843	41	120	1
131325851	22	120	1
131325886	41	120	1
131326158	35	120	1
131326220	17	120	1
131326856	15	120	1
131327093	17	120	1
131327151	41	120	1
131327490	29	120	1
131327492	34	120	1
131328350	35	120	1
131328439	16	120	1
131330732	40	120	1
131330838	39	120	1
131330942	44	120	1
131332966	14	120	1
131333335	3	120	1
131333351	8	120	1
131337984	6	120	1
131342522	47	120	1
131347565	14	120	1
131348137	46	120	1
131349967	9	120	1
131350207	5	120	1
131351286	3	120	1
131352928	5	120	1
131358715	23	120	1
131359381	12	120	1
131361600	5	120	1
131361606	5	120	1
131365209	5	120	1
131370882	19	120	1
131371494	8	120	1
131375664	17	120	1
131380732	4	120	1
131381294	3	120	1
131381724	4	120	1
131381837	47	120	1
131384639	55	120	1
131385165	2	120	1
131388171	24	120	1
131396722	47	120	1
131402948	50	120	1
131406402	23	120	1
131406405	22	120	1
131406555	19	120	1
131407099	49	120	1
131414300	46	120	1
131415936	23	120	1
131416008	22	120	1
131416237	22	120	1
131416338	22	120	1
131416443	2	120	1
131416624	3	120	1
131416808	22	120	1
131417226	45	120	1
131417587	22	120	1
131421115	52	120	1
131421122	23	120	1
131422311	43	120	1
131422419	21	120	1
131422477	43	120	1
131424193	22	120	1
131424756	2	120	1
131425020	11	120	1
131425432	31	120	1
131425451	20	120	1
131425888	23	120	1
131426764	20	120	1
131426800	20	120	1
131426819	22	120	1
131427095	22	120	1
131427132	21	120	1
131427542	15	120	1
131427648	22	120	1
131427708	24	120	1
131428453	46	120	1
131428703	45	120	1
131429221	46	120	1
131429608	46	120	1
131430912	10	120	1
131430913	17	120	1
131431120	24	120	1
131431307	46	120	1
131431656	46	120	1
131431859	46	120	1
131432527	3	120	1
131432719	46	120	1
131432819	46	120	1
131432956	46	120	1
131433289	46	120	1
131433469	45	120	1
131433478	16	120	1
131433572	45	120	1
131434144	24	120	1
131434656	46	120	1
131434785	46	120	1
131435678	46	120	1
